LocationCode,Location,CountryCode,Country,Period,FactValueNumeric,Value
EUR,Europe,SMR,San Marino,2015-2019,25.69,26
AFR,Africa,COM,Comoros,2015-2019,29.86,30
AFR,Africa,GNQ,Equatorial Guinea,2015-2019,29.86,30
EUR,Europe,AND,Andorra,2015-2019,31.25,31
WPR,Western Pacific,NIU,Niue,2015-2019,31.25,31
WPR,Western Pacific,FSM,Micronesia (Federated States of),2015-2019,34.03,34
EUR,Europe,MCO,Monaco,2015-2019,34.03,34
EUR,Europe,BIH,Bosnia and Herzegovina,2015-2019,36.81,37
EMR,Eastern Mediterranean,KWT,Kuwait,2015-2019,36.81,37
AMR,Americas,KNA,Saint Kitts and Nevis,2015-2019,36.81,37
AMR,Americas,VCT,Saint Vincent and the Grenadines,2015-2019,36.81,37
WPR,Western Pacific,VUT,Vanuatu,2015-2019,36.81,37
AMR,Americas,BRB,Barbados,2015-2019,40.28,40
AMR,Americas,DMA,Dominica,2015-2019,40.28,40
EMR,Eastern Mediterranean,DJI,Djibouti,2015-2019,41.67,42
AFR,Africa,GAB,Gabon,2015-2019,41.67,42
EMR,Eastern Mediterranean,LBY,Libya,2015-2019,42.36,42
AFR,Africa,NAM,Namibia,2015-2019,42.36,42
WPR,Western Pacific,NRU,Nauru,2015-2019,42.36,42
AMR,Americas,ATG,Antigua and Barbuda,2015-2019,43.06,43
AMR,Americas,GRD,Grenada,2015-2019,43.06,43
AFR,Africa,ERI,Eritrea,2015-2019,43.75,44
EMR,Eastern Mediterranean,QAT,Qatar,2015-2019,45.14,45
AMR,Americas,LCA,Saint Lucia,2015-2019,45.14,45
WPR,Western Pacific,TUV,Tuvalu,2015-2019,45.14,45
AFR,Africa,SYC,Seychelles,2015-2019,45.83,46
EMR,Eastern Mediterranean,BHR,Bahrain,2015-2019,47.92,48
AFR,Africa,SWZ,Eswatini,2015-2019,47.92,48
AFR,Africa,SSD,South Sudan,2015-2019,48.61,49
WPR,Western Pacific,COK,Cook Islands,2015-2019,50.69,51
AMR,Americas,NIC,Nicaragua,2015-2019,51.39,51
WPR,Western Pacific,PLW,Palau,2015-2019,50.69,51
EMR,Eastern Mediterranean,YEM,Yemen,2015-2019,50.69,51
AMR,Americas,BHS,Bahamas,2015-2019,53.47,53
WPR,Western Pacific,KHM,Cambodia,2015-2019,53.47,53
AMR,Americas,DOM,Dominican Republic,2015-2019,53.47,53
WPR,Western Pacific,FJI,Fiji,2015-2019,53.47,53
AMR,Americas,HND,Honduras,2015-2019,53.47,53
EUR,Europe,SVK,Slovakia,2015-2019,53.47,53
