,Region,Sex,Average_Percentage_Change
0,Africa,Female,-48.126757263355195
1,Africa,Male,-46.301171547702275
2,Americas,Female,-40.01205340181063
3,Americas,Male,-40.66118350779748
4,Eastern Mediterranean,Female,-44.99712955284812
5,Eastern Mediterranean,Male,-43.69073429253444
6,Europe,Female,-60.86613939105614
7,Europe,Male,-61.28932647656148
8,South-East Asia,Female,-60.834664615505986
9,South-East Asia,Male,-59.927785536669276
10,Western Pacific,Female,-42.53773398114442
11,Western Pacific,Male,-42.32918450170846
