,IndicatorCode,Indicator,ValueType,RegionCode,Region,SpatialDimValueCode,Country,Year,IsLatestYear,Sex,Sex_Code,MortalityRate,MortalityRate-Low,MortalityRate-High,Value,Language,DateModified,CountryCode
1,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,MCO,Monaco,2021,True,Both sexes,BTSX,0.96,0.61,1.53,0.96 [0.61 – 1.53],EN,2023-02-16T00:00:00.000Z,MCO
5,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,SMR,San Marino,2021,True,Both sexes,BTSX,1.53,0.73,3.12,1.53 [0.73 – 3.12],EN,2023-02-16T00:00:00.000Z,SMR
6,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,EST,Estonia,2021,True,Both sexes,BTSX,1.55,1.26,1.9,1.55 [1.26 – 1.9],EN,2023-02-16T00:00:00.000Z,EST
14,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,SGP,Singapore,2021,True,Both sexes,BTSX,1.73,1.41,2.09,1.73 [1.41 – 2.09],EN,2023-02-16T00:00:00.000Z,SGP
15,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,JPN,Japan,2021,True,Both sexes,BTSX,1.74,1.68,1.79,1.74 [1.68 – 1.79],EN,2023-02-16T00:00:00.000Z,JPN
16,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,SVN,Slovenia,2021,True,Both sexes,BTSX,1.75,1.53,2.04,1.75 [1.53 – 2.04],EN,2023-02-16T00:00:00.000Z,SVN
17,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,NOR,Norway,2021,True,Both sexes,BTSX,1.77,1.6,1.96,1.77 [1.6 – 1.96],EN,2023-02-16T00:00:00.000Z,NOR
18,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,FIN,Finland,2021,True,Both sexes,BTSX,1.78,1.61,1.97,1.78 [1.61 – 1.97],EN,2023-02-16T00:00:00.000Z,FIN
26,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,MNE,Montenegro,2021,True,Both sexes,BTSX,1.91,1.56,2.32,1.91 [1.56 – 2.32],EN,2023-02-16T00:00:00.000Z,MNE
31,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2021,True,Both sexes,BTSX,10.1,7.9,13.0,10.1 [7.9 – 13],EN,2023-02-16T00:00:00.000Z,
42,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,JAM,Jamaica,2021,True,Both sexes,BTSX,10.67,5.43,20.52,10.67 [5.43 – 20.52],EN,2023-02-16T00:00:00.000Z,JAM
44,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,SLV,El Salvador,2021,True,Both sexes,BTSX,10.69,6.34,17.99,10.69 [6.34 – 17.99],EN,2023-02-16T00:00:00.000Z,SLV
48,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,ECU,Ecuador,2021,True,Both sexes,BTSX,10.72,9.41,12.18,10.72 [9.41 – 12.18],EN,2023-02-16T00:00:00.000Z,ECU
